# DECISIONS: include | maybe | exclude,,,,,,
# EXCLUSION REASONS: population (not consciousness-relevant) ; exposure (no quantitative complexity measure) ; data (no neural recording) ; publication-type (editorial/protocol/non-study) ; not-retrievable ; other,,,,,,
# Screen BLIND to Elicit. Fill my_decision for every row; add my_primary_exclusion_reason only when excluding.,,,,,,
pmid,title,journal,year,abstract,my_decision,my_primary_exclusion_reason
310082,[Intraventricular extravasation of contrast media through ruptured intracranial aneurysm--report of two cases (author's transl)].,No shinkei geka. Neurological surgery,1978,"Extravasation of contrast media through ruptured intracranial aneurysm has been reported as an unusual case. Among the reported cases, a ventricular opacification is very rare, and in such cases, the prognosis is worst. In this paper, two cases with an aneurysm bleeding into the ventricular system were reported. Case 1. A 37-year-old woman was admitted because of severe headache and disturbance of consciousness. On admission, she was deeply comatose with decerebrate rigidity. Carotid angiogram taken 2 hours and 30 minutes after the attack revealed an aneurysm of the anterior communicating artery and an extravasation of contrast media into the lateral ventricle. Although a continuous ventricular drainage was instituted immediately, the patient died after five days. Case 2. A 33-year-old man suddenly developed severe headache with subsequent loss of consciousness. Two hours after the onset, the patient was admitted in comatose state. Angiography taken 3 hours after the attack demonstrated an aneurysm of the anterior communicating artery. The posterior horns of the lateral ventricles were opacificated. The patient died after 24 hours. In case 1, it was interesting that a remarkable stenosis of the cisternal portion of the internal carotid artery was demonstrated at the 2nd carotid angiography (lateral view), but the third carotid angiography taken after the continuous ventricular drainage showed a complete recovery from the stenosis. This stenosis was supposed to be caused by a compression of the internal carotid artery against the interclinoid ligamentum. Moreover, a rapid enlargement of the aneurysm was noticed by repeated angiography.",exclude,"Does not quantify complexity, information, dynamics or related structures"
1907384,Magnetic resonance imaging as a new diagnostic criterion in paediatric airway obstruction.,Progress in pediatric surgery,1991,"Magnetic resonance imaging of the trachea was performed in 21 children with congenital or acquired narrowing of the trachea or main bronchi. Diagnosis included aortic arch anomalies, innominate artery compression, pulmonary artery compression and tracheomalacia. All patients were examined after bronchoscopy. The demonstration of the trachea and the surrounding tissue and vessels on MR images enables the cause of tracheal compression and the degree and location of collapse to be evaluated. MRI is a modality well suited to characterizing tracheal narrowing without employing ionizing radiation or intravenous contrast medium. All MRI examinations were carried out with the patient under general anaesthesia so as not to risk pulmonary deterioration during sedation. In the cases presented MRI is the diagnostic step of choice after tracheobronchoscopy and broadens the diagnostic potential in extrinsic tracheal or bronchial stenosis in paediatric patients.",exclude,"Does not quantify complexity, information, dynamics or related structures + it is out of date"
2298225,Loss of brainstem acoustic evoked potentials with spontaneous breathing in a patient with supratentorial lesion.,European neurology,1990,"The loss of brainstem acoustic evoked potentials (BAEP) is considered as a confirmatory test for the diagnosis of brain death in patients with supratentorial lesions. We report a patient with ischemia in the territory of the left middle and anterior cerebral artery, who showed a loss of BAEP waves III-V as a sign of brainstem compression, but maintained spontaneous breathing and EEG activities. We conclude that occasionally BAEP may provide misleading results in the diagnosis of brain death.",exclude,"Does not quantify complexity, information, dynamics or related structures, "
2321322,Analysis of neurologic symptoms in deep diving: implications for selection of divers.,Undersea biomedical research,1990,"Eighteen professional divers (age range 24-33 yr, mean 28.3) participated in one simulated dive to 360 meters of seawater (msw) in a helium-oxygen (heliox) atmosphere with equal compression and decompression profiles. All divers were given an extensive neurologic examination before diving. Clinical neurologic symptoms observed during the dives were equilibrium disorder, sleep disturbances, fatigue, nausea, loose stools, stomach pain, tremor, mental disturbances, reduced appetite, and headache. Symptoms were scored individually by each diver. The symptoms were analyzed statistically by factor analysis, which grouped them into four factors. These symptoms are presumably related to functional disturbances in the brain stem and the cerebellum. Factor 3 symptoms (tremor, mental disturbances, reduced appetite) correlated significantly to a history of predive decompression sickness (P = 0.006) and to cerebral concussion (P = 0.023). Three divers were periodically unable to work at bottom due to equilibrium disorder, diarrhea, or nausea. One diver with mild polyneuropathy and slight cerebral atrophy as seen by computerized tomography and another diver with abnormal electroencephalography were periodically unable to work due to equilibrium disorder and nausea, respectively. We advocate that divers with signs of central or peripheral nervous system dysfunction should not be selected for deep diving.",exclude,"No consciousness relevance, no complexity measures and no neural data"
2608653,[Use of microcomputers in polysomnography].,"Pneumologie (Stuttgart, Germany)",1989,"Constantly falling prices and increasing power combine to make the personal computer an attractive alternative to established recording devices for use in polysomnography. Apart from its price advantage, digital recording of psychophysiological signals offers the possibility of selective display (compression and zooming to parts of special interest), and also semi-automatic evaluation. In order to be able to feed the data acquired in the sleep laboratory into the computer, an interface for signal matching, an analog/digital converter, and suitable software, are required. In order to reduce the wealth of data to the clinically relevant (and, in the last resort, also manageable) amount, preprocessing hardware, such as EEG filters, snore detectors, etc., are required. The system we recommend comprises individual hardware, modules for the pickup of physiological signals, and flexibly combinable software routines that permit adaptation to any future expansions of changing medical problems.",exclude,No complexity measures
2650011,Supplemental oxygen and quality of sleep in patients with chronic obstructive lung disease.,Thorax,1989,"The hypothesis that supplemental oxygen could improve the quality of sleep was tested in 23 consecutive patients (14 male, nine female; age 42-74 years) with chronic obstructive lung disease (mean (SD) FEV1 0.81 (0.32) litre, FEV1/FVC 37% (12%). Patients breathed compressed air or supplemental oxygen via nasal cannulas on consecutive nights in a randomised, double blind, crossover trial. Quality of sleep was assessed by questionnaire and by electroencephalographic sleep staging. The study had a power of 80% to detect, at the 0.05 level, a 20% improvement in total sleep time. Seventeen patients slept for two nights in the laboratory. Oxygenation during sleep was improved by oxygen administration, but there was no improvement in quality of sleep. There was an acclimatisation effect with better sleep on the second night. Six patients spent an additional acclimatisation night in the laboratory as well as the two study nights. There was no difference in sleep quality between the second and third nights or between the compressed air and the oxygen nights in these patients. Subgroups of patients with an arterial carbon dioxide tension of over 43 mm Hg (5.7 kPa) (n = 12) and arterial oxygen saturation of less than 90% (n = 11) while awake did not show any improvement in quality of sleep on the oxygen night. It is concluded that supplemental oxygen improves nocturnal oxygenation but does not immediately improve the quality of sleep in the laboratory in patients with chronic obstructive lung disease.",exclude,"A sleep study using EEG for sleep staging to evaluate oxygen treatment effects, but it does not apply any quantitative complexity, information-theoretic, or neural dynamics measure."
2711770,[Extra- and intracranial injuries of the cerebral arteries as a sequela of assault].,Zeitschrift fur Rechtsmedizin. Journal of legal medicine,1989,"The case of an 47-year-old man is reported, who was injured in a fight while under the influence of alcohol. The culprit knocked him down and stamped several times on the left side of his head. The victim became unconscious. At the hospital, subarachnoid hemorrhage and massive ventricular bleeding was diagnosed via CT. Despite the implantation of a ventricular shunt, there was repeated massive cerebral pressure and arterial bleeding. Brain death occurred after 8 days. The main finding at autopsy was nearly complete disruption of the left inferior posterior cerebellar artery as the source of the lethal bleeding. The histological examination showed some additional, incomplete ruptures of this vessel and of the left intracranial vertebral artery. This is a typical result of ""minor head injuries"" sustained in fights: arterial rupture (ipsilateral) as a result of overstretching. Fracture of the left zygomatic arch and maxilla; no skull fracture; no primary traumatic brain damage. The extracranial carotid arteries were intact. When the vertebral arteries were examined (in the undamaged cervical spine), there was a surprising finding: distant dissection of the right vertebral artery between C1 and C2, which perhaps occurred as a result of compression (contralateral to the impact) of this region.",exclude,"No consciousness relevance, no complexity measures and no neural data and out of date"
2741747,Cerebrovascular response to elevation of ventricular pressure.,Acta neurochirurgica,1989,"The behaviour of Pial vessels to levels of CSF-pressure between 10 and 100 mmHg induced by vetricular infusion of mock CSF, was observed in 6 cats under barbiturate and N2O anaesthesia, using the cranial window technique and videoangiometry. Supratentorial pressure (STP) equaled infratentorial pressure in the cisterna magna (CMP) throughou. No changes in pial arterial calibres were noted up to a CMP of 13 mmHg (i.e. a cerebral perfusion pressure (CPP) of 100 mmHg). Further increase of CMP to 45 mmHg induced significant arterial dilatation of 40 +/- 3.4%. With a further rise of ventricular fluid pressure (VFP) no marked further arterial dilatation occurred. Dilatation of arteries up to 100 um resting diameter and arteries between 100 and 250 um resting diameter and arteries between 100 and 250 um was not significantly different. When CPP approached 40 mmHg, arteries were still 47 +/- 3.6% dilated. Pial venous calibre did not vary by more than 20% during elevation of VFP. At CPP 47 mmHg, small and large veins were dilated by 14%. Single venous segments were compressed by crossing pial arteries and caused upstream venous congestion and distension.",exclude,"No consciousness relevance, no complexity measures and no neural data and out of date"
6639803,[Some practical problems of clinical diagnosis of brain death].,No to shinkei = Brain and nerve,1983,"The authors experienced thirty brain deaths including eighteen head injuries and seven cerebrovascular accidents during the period from Nov. 1980 to Dec. 1982 and encountered with some practical problems on clinical diagnosis of brain death. In sixteen patients subjected to barbiturate (pentobarbital) therapy, the attempt to meet the criteria of brain death made it necessary to confirm the total cerebrocirculatory arrest as well as to measure the serum concentration of pentobarbital and assure its level low enough. But as a result of the angiograms performed in twenty-four cases the cerebral angiography sometimes failed to give sufficient evidence to confirm it not merely because of the angiographical intracranial delayed opacification but also because of the dissociation of filling between supra- and infratentorial spaces or between right and left hemispheres. And besides the contrast enhancement of cerebral vessels was verified in computed tomograms of two cases among ten cases who had already met the criteria and demonstrated angiographical nonfilling phenomenon. The angiographical narrowing of C 1-2, A 1, M 1 portions or basilar artery observed on serial angiograms preceding the angiographical nonfilling phenomenon was regarded as direct vascular compression by cerebral swelling or vasospasm and considered to suggest that brain death might be impending. At present the continuous monitoring of intracranial pressure performed in twenty-six cases proved to be a convincing guide to suspicion of brain death or impending brain death according to decrease in cerebral perfusion pressure and appearance of so-called plateau waves recorded in four cases.(ABSTRACT TRUNCATED AT 250 WORDS)",exclude,"consciousness relevance is present (brain death), there is brain-related physiological monitoring, and the abstract may underspecify methods, but out of date."
7991091,Spinal epidural haematoma: report of 11 cases and review of the literature.,Neuroradiology,1994,"Spinal epidural haematomas (SEH) are rare; most are caused by trauma, anticoagulant therapy, vascular anomalies, hypertension, blood dyscrasias, epidural anaesthesia or, rarely, spinal surgery. We report 11 cases and review the literature (16 cases). The clinical picture is that of acute spinal cord compression. MRI characteristics are quite specific. On sagittal sections, the SEH appears as a biconvex mass, dorsal to the thecal sac, clearly outlined and with tapering superior and inferior margins. The dura mater is seen as curvilinear low signal separating the haematoma from the cord. Within 24 h of onset, the haematoma is isointense with the cord on T1-weighted images and heterogeneous on T2-weighted images. Later, it gives high signal on both T1- and T2-weighted images. Differential diagnosis must include subdural haematoma, epidural neoplasm and abscess. Complete neurological recovery rapidly follows laminectomy and removal of the clot. In three of our cases, the haematoma resolved spontaneously. MRI is the best examination for diagnostic and follow-up.",exclude,"No consciousness relevance, no complexity measures and no neural data"
