"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Identification of the General Anesthesia Induced Loss of Consciousness by Cross Fuzzy Entropy-Based Brain Network","F. Li; Y. Li; H. Zheng; L. Jiang; D. Gao; C. Li; Y. Peng; Z. Cao; Y. Zhang; D. Yao; T. Xu; T. -F. Yuan; P. Xu","MOE Key Laboratory for Neuroinformation, The Clinical Hospital of Chengdu Brain Science Institute, and the Center for Information in Medicine, School of life Science and Technology, University of Electronic Science and Technology of China, Chengdu, China; MOE Key Laboratory for Neuroinformation, The Clinical Hospital of Chengdu Brain Science Institute, and the Center for Information in Medicine, School of life Science and Technology, University of Electronic Science and Technology of China, Chengdu, China; Shanghai Key Laboratory of Psychotic Disorders, Shanghai Mental Health Center, Shanghai Jiao Tong University School of Medicine, Shanghai, China; MOE Key Laboratory for Neuroinformation, The Clinical Hospital of Chengdu Brain Science Institute, and the Center for Information in Medicine, School of life Science and Technology, University of Electronic Science and Technology of China, Chengdu, China; School of Computer Science, Chengdu University of Information Technology, Chengdu, China; MOE Key Laboratory for Neuroinformation, The Clinical Hospital of Chengdu Brain Science Institute, and the Center for Information in Medicine, School of life Science and Technology, University of Electronic Science and Technology of China, Chengdu, China; MOE Key Laboratory for Neuroinformation, The Clinical Hospital of Chengdu Brain Science Institute, and the Center for Information in Medicine, School of life Science and Technology, University of Electronic Science and Technology of China, Chengdu, China; STEM, University of South Australia, Mawson Lakes Campus, Adelaide, SA, Australia; School of Computer Science and Technology, Southwest University of Science and Technology, Mianyang, China; MOE Key Laboratory for Neuroinformation, The Clinical Hospital of Chengdu Brain Science Institute, and the Center for Information in Medicine, School of life Science and Technology, University of Electronic Science and Technology of China, Chengdu, China; Department of Anesthesiology, Affiliated Shanghai Sixth People’s Hospital, Shanghai Jiao Tong University, Shanghai, China; Shanghai Key Laboratory of Psychotic Disorders, Shanghai Mental Health Center, Shanghai Jiao Tong University School of Medicine, Shanghai, China; MOE Key Laboratory for Neuroinformation, The Clinical Hospital of Chengdu Brain Science Institute, and the Center for Information in Medicine, School of life Science and Technology, University of Electronic Science and Technology of China, Chengdu, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"9 Nov 2021","2021","29","","2281","2291","Although the spatiotemporal complexity and network connectivity are clarified to be disrupted during the general anesthesia (GA) induced unconsciousness, it remains to be difficult to exactly monitor the fluctuation of consciousness clinically. In this study, to track the loss of consciousness (LOC) induced by GA, we first developed the multi-channel cross fuzzy entropy method to construct the time-varying networks, whose temporal fluctuations were then explored and quantitatively evaluated. Thereafter, an algorithm was further proposed to detect the time onset at which patients lost their consciousness. The results clarified during the resting state, relatively stable fuzzy fluctuations in multi-channel network architectures and properties were found; by contrast, during the LOC period, the disrupted frontal-occipital connectivity occurred at the early stage, while at the later stage, the inner-frontal connectivity was identified. When specifically exploring the early LOC stage, the uphill of the clustering coefficients and the downhill of the characteristic path length were found, which might help resolve the propofol-induced consciousness fluctuation in patients. Moreover, the developed detection algorithm was validated to have great capacity in exactly capturing the time point (in seconds) at which patients lost consciousness. The findings demonstrated that the time-varying cross-fuzzy networks help decode the GA and are of great significance for developing anesthesia depth monitoring technology clinically.","1558-0210","","10.1109/TNSRE.2021.3123696","National Natural Science Foundation of China(grant numbers:61961160705,62103085,U19A2082,61901077); Science and Technology Development Fund, Macau(grant numbers:0045/2019/AFJ); Project of Science and Technology Department of Sichuan Province(grant numbers:2021YFSY0040,2018JZ0073,2020ZYD013); Australian Research Council-Discovery Early Career Researcher Award (ARC DECRA) Fellowship(grant numbers:DE220100265); Key Research and Development Program of Guangdong Province, China(grant numbers:2018B030339001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9591644","General anesthesia;loss of consciousness;cross fuzzy entropy;time-varying networks","Electroencephalography;Fluctuations;Anesthesia;Monitoring;Entropy;Hospitals;Biomedical monitoring","Anesthesia, General;Brain;Consciousness;Electroencephalography;Entropy;Humans;Propofol;Unconsciousness","11","","61","CCBY","27 Oct 2021","2021","","IEEE","IEEE Journals"
"Monotonicity of approximate entropy during transition from awareness to unresponsiveness due to propofol anesthetic induction","M. Koskinen; T. Seppanen; Shanbao Tong; S. Mustola; N. V. Thakor","Department of Electrical and Information Engineering, University of Oulu, Finland; Department of Electrical and Information Engineering, University of Oulu, Finland; Department of Biomedical Engineering, Johns Hopkins University School of Medicine, Baltimore, MD, USA; Department of Anesthesia, South Karelia Central Hospital, Lappeeranta, Finland; Department of Biomedical Engineering, Johns Hopkins University School of Medicine, Baltimore, MD, USA",IEEE Transactions on Biomedical Engineering,"20 Mar 2006","2006","53","4","669","675","The ability to monitor the physiological effects of sedative medication accurately is of interest in clinical practice. During the anesthetic agent driven transition to unresponsiveness, nonstationary changes such as signal amplitude variations appear in electroencephalography. In this paper, it is studied whether the application of the approximate entropy (ApEn) method to electroencephalographic (EEG) signal produces a monotonic response curve during the transition from awareness to unresponsiveness. Data from fourteen patients, undergoing propofol anesthetic induction were studied. To optimize the ApEn performance, different parameter choices were carefully evaluated. It was assumed with our protocol, that the level of anesthesia changes monotonically with the elapsed induction time. The monotonicity of the ApEn change was assessed with the prediction probability statistic (P/sub K/). The monotonicity of the ApEn time-series depends on the parameters employed in the algorithm and the varying signal amplitude. Depending on the parameter values, the median P/sub K/ value ranged from 0.886 to 0.527. Thus, a good directionality and concordance was observed, but the nonstationarity of the signal affected the results. In conclusion, EEG-based ApEn measure shows a nonlinear response during propofol induction. With a judicious choice of parameters, a monotonic response is confirmed using P/sub K/ statistic.","1558-2531","","10.1109/TBME.2006.870230","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1608516","Approximate entropy;depth of anesthesia;independent component analysis (ICA)","Entropy;Anesthetic drugs;Electroencephalography;Anesthesia;Statistics;Independent component analysis;Biomedical engineering;Biomedical monitoring;Probability;Data analysis","Adult;Algorithms;Anesthesia, General;Anesthetics, Intravenous;Brain;Brain;Consciousness;Consciousness;Diagnosis, Computer-Assisted;Drug Therapy, Computer-Assisted;Electroencephalography;Female;Humans;Male;Middle Aged;Monitoring, Intraoperative;Propofol;Reproducibility of Results;Sensitivity and Specificity","41","","24","IEEE","20 Mar 2006","April 2006","","IEEE","IEEE Journals"
"Quasi-Periodicities Detection Using Phase-Rectified Signal Averaging in EEG Signals as a Depth of Anesthesia Monitor","Q. Liu; Y. -F. Chen; S. -Z. Fan; M. F. Abbod; J. -S. Shieh","School of Information Engineering, Wuhan University of Technology, Wuhan, China; School of Information Engineering, Wuhan University of Technology, Wuhan, China; Department of Anesthesiology, National Taiwan University, Taipei, Taiwan; Department of Electronic and Computer Engineering, Brunel University London, Uxbridge, U.K.; Department of Mechanical Engineering, Yuan Ze University, Chung-Li, Taiwan",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"24 Oct 2017","2017","25","10","1773","1784","Phase-rectified signal averaging (PRSA) has been known to be a useful method to detect periodicities in non-stationary biological signals. Determination of quasi-periodicities in electroencephalogram (EEG) is a candidate for quantifying the changes in the depth of anesthesia (DOA). In this paper, DOA monitoring capacity of periodicities detected using PRSA was quantified by assessing EEG signals collected from 56 patients during surgery. The method is compared with sample entropy (SampEn), detrended fluctuation analysis (DFA), and permutation entropy (PE). The performance of quasi-periodicities defined by deceleration capacity and acceleration capacity was tested using the area under the receiver operating characteristic curve (AUC) and Pearson correlation coefficient. During the surgery, a significant difference (p <; 0.05) in the quasi-periodicities was observed among three different stages under general anesthesia. There is a larger mean AUC and correlation coefficient of quasi-periodicities compared with SampEn, DFA, and PE using expert assessment of conscious level and bispectral index as the gold standard, respectively. Quasi-periodicities detected using PRSA in EEG signals are a powerful monitor of DOA and perform more accurate and robust results compared with SampEn, DFA, and PE. The results do provide a valuable reference to researchers in the field of clinical applications.","1558-0210","","10.1109/TNSRE.2017.2690449","Center for Dynamical Biomarkers and Translational Medicine, National Central University, Taiwan, which is sponsored by the Ministry of Science and Technology(grant numbers:MOST103-2911-I-008-001); National Natural Science Foundation of China(grant numbers:51475342,61201246); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7891618","Depth of anesthesia;electroencephalogram (EEG);phase-rectified signal averaging;quasi-periodicities","Electroencephalography;Anesthesia;Monitoring;Entropy;Surgery;Indexes;Biomedical monitoring","Acceleration;Adolescent;Adult;Aged;Algorithms;Anesthesia, General;Artifacts;Consciousness Disorders;Consciousness Monitors;Electroencephalography;Entropy;Female;Humans;Male;Middle Aged;Monitoring, Intraoperative;Periodicity;ROC Curve;Signal Processing, Computer-Assisted;Young Adult","32","","52","IEEE","3 Apr 2017","Oct. 2017","","IEEE","IEEE Journals"
"Constructing a Consciousness Meter Based on the Combination of Non-Linear Measurements and Genetic Algorithm-Based Support Vector Machine","Z. Liang; S. Shao; Z. Lv; D. Li; J. W. Sleigh; X. Li; C. Zhang; J. He","Department of Electrical Engineering, Yanshan University, Qinhuangdao, China; Department of Electrical Engineering, Yanshan University, Qinhuangdao, China; Department of Emergency, The No. 1 Hospital of Qinhuangdao, China; Department of Anesthesiology, Center for Consciousness Science, University of Michigan Medical School, Ann Arbor, USA; Department of Anesthesia, Waikato Hospital, Hamilton, New Zealand; State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, Beijing, China; Department of Emergency, The No. 1 Hospital of Qinhuangdao, China; Department of Neurosurgery, PLA Army General Hospital, Beijing, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"12 Feb 2020","2020","28","2","399","408","Objective: Constructing a framework to evaluate consciousness is an important issue in neuroscience research and clinical practice. However, there is still no systematic framework for quantifying altered consciousness along the dimensions of both level and content. This study builds a framework to differentiate the following states: coma, general anesthesia, minimally conscious state (MCS), and normal wakefulness. Methods: This study analyzed electroencephalography (EEG) recorded from frontal channels in patients with disorders of consciousness (either coma or MCS), patients under general anesthesia, and healthy participants in normal waking consciousness (NWC). Four non-linear methods—permutation entropy (PE), sample entropy (SampEn), permutation Lempel-Ziv complexity (PLZC), and detrended fluctuation analysis (DFA)—as well as relative power (RP), extracted features from the EEG recordings. A genetic algorithm-based support vector machine (GA-SVM) classified the states of consciousness based on the extracted features. A multivariable linear regression model then built EEG indices for level and content of consciousness. Results: The PE differentiated all four states of consciousness (p<0.001). Altered contents of consciousness for NWC, MCS, coma, and general anesthesia were best differentiated by the SampEn, and PLZC. In contrast, the levels of consciousness for these four states were best differentiated by RP of Gamma and PE. A multi-dimensional index, combined with the GA-SVM, showed that the integration of PE, PLZC, SampEn, and DFA had the highest classification accuracy (92.3%). The GA-SVM was better than random forest and neural networks at differentiating these four states. The ‘coordinate value’ in the dimensions of level and content were constructed by the multivariable linear regression model and the non-linear measures PE, PLZC, SampEn, and DFA. Conclusions: Multi-dimensional measurements, especially the PE, SampEn, PLZC, and DFA, when combined with GA-SVM, are promising methods for constructing a framework to quantify consciousness.","1558-0210","","10.1109/TNSRE.2020.2964819","National Natural Science Foundation of China(grant numbers:61673333,61304247,81230023); Natural Science Fund for Excellent Young Scholars of Hebei Province of China(grant numbers:F2018203281); Hebei Key Research and Development Plan Project(grant numbers:172777202); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952748","Consciousness;Evaluation framework;Permutation entropy;Complexity;GA-SVM","Electroencephalography;Anesthesia;Genetic algorithms;Support vector machines;Entropy;Complexity theory;Meters","Algorithms;Anesthesia, General;Coma;Consciousness;Consciousness Disorders;Consciousness Monitors;Electroencephalography;Entropy;Female;Genetics;Healthy Volunteers;Humans;Male;Middle Aged;Nonlinear Dynamics;Reproducibility of Results;Support Vector Machine;Wakefulness","37","","11","IEEE","8 Jan 2020","Feb. 2020","","IEEE","IEEE Journals"
"Nonlinear Analysis of Electroencephalogram Variability as a Measure of the Depth of Anesthesia","Y. -F. Chen; S. -Z. Fan; M. F. Abbod; J. -S. Shieh; M. Zhang","Academy for Advanced Interdisciplinary Studies, Southern University of Science and Technology, Shenzhen, China; Department of Anesthesiology, En Chu Kong Hospital, New Taipei City, Taiwan; College of Engineering, Design and Physical Sciences, Brunel University London, Uxbridge, U.K.; Department of Mechanical Engineering, Yuan Ze University, Taoyuan, Taiwan; Department of Biomedical Engineering, Shenzhen Key Laboratory of Smart Healthcare Engineering, Southern University of Science and Technology, Shenzhen, China",IEEE Transactions on Instrumentation and Measurement,"2 May 2022","2022","71","","1","13","Electroencephalogram (EEG) has been widely used to measure the effect of anesthetics on the central nervous system. However, EEG signals are very prone to artifacts. In this article, EEG variability (EEGV) is proposed, and nonlinear models are used to analyze EEGV for measuring the depth of anesthesia (DoA). First, the time intervals between successive local maxima of EEG are extracted. Then, resampling and differentiation are applied to reconstruct the EEGV time series. Sample entropy (SampEn), permutation entropy (PeEn), detrended fluctuation analysis (DFA), and Poincaré plots (PoPs) are used to analyze EEGV. The area under the curve (AUC) and the correlation analysis between proposed measures and conscious level indicated by the bispectral index and expert-labeled data are investigated. A long short-term memory network is further used to combine multiple features for predicting DoA. The results from 59 patients show that these four indices can differentiate awake and unconscious states and track changes in anesthesia states. SampEn, DFA, and PoP derived from EEGV achieve significantly higher AUCs and correlation coefficients than those derived from EEG. The fusion of EEG and EEGV can measure DoA more precisely. In summary, it is the first time that four nonlinear methods are used to analyze the reconstructed EEGV signals instead of traditionally used raw EEG, which provides a robust way to measure DoA.","1557-9662","","10.1109/TIM.2022.3167793","National Natural Science Foundation of China(grant numbers:61903181); Shenzhen Key Laboratory of Smart Healthcare Engineering(grant numbers:ZDSYS20200811144003009); Ministry of Science and Technology, Taiwan(grant numbers:MOST 110-2221-E-155-004-MY2); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9759324","Depth of anesthesia (DoA);electroencephalogram variability (EEGV);general anesthesia;nonlinear analysis","Electroencephalography;Anesthesia;Biomedical monitoring;Surgery;Entropy;Monitoring;Temperature measurement","","9","","51","IEEE","18 Apr 2022","2022","","IEEE","IEEE Journals"
"Monitoring the Depth of Anesthesia Using a New Adaptive Neurofuzzy System","A. Shalbaf; M. Saffar; J. W. Sleigh; R. Shalbaf","Department of Biomedical Engineering, Islamic Azad University, Tehran, Iran; School of Electrical and Computer Engineering, University of Tehran, Tehran, Iran; Department of Anesthesia, Waikato Hospital, Hamilton, New Zealand; School of Electrical Engineering, Iran University of Science and Technology, Tehran, Iran",IEEE Journal of Biomedical and Health Informatics,"3 May 2018","2018","22","3","671","677","Accurate and noninvasive monitoring of the depth of anesthesia (DoA) is highly desirable. Since the anesthetic drugs act mainly on the central nervous system, the analysis of brain activity using electroencephalogram (EEG) is very useful. This paper proposes a novel automated method for assessing the DoA using EEG. First, 11 features including spectral, fractal, and entropy are extracted from EEG signal and then, by applying an algorithm according to exhaustive search of all subsets of features, a combination of the best features (Beta-index, sample entropy, shannon permutation entropy, and detrended fluctuation analysis) is selected. Accordingly, we feed these extracted features to a new neurofuzzy classification algorithm, adaptive neurofuzzy inference system with linguistic hedges (ANFIS-LH). This structure can successfully model systems with nonlinear relationships between input and output, and also classify overlapped classes accurately. ANFIS-LH, which is based on modified classical fuzzy rules, reduces the effects of the insignificant features in input space, which causes overlapping and modifies the output layer structure. The presented method classifies EEG data into awake, light, general, and deep states during anesthesia with sevoflurane in 17 patients. Its accuracy is 92% compared to a commercial monitoring system (response entropy index) successfully. Moreover, this method reaches the classification accuracy of 93% to categorize EEG signal to awake and general anesthesia states by another database of propofol and volatile anesthesia in 50 patients. To sum up, this method is potentially applicable to a new real-time monitoring system to help the anesthesiologist with continuous assessment of DoA quickly and accurately.","2168-2208","","10.1109/JBHI.2017.2709841","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7935360","Depth of anesthesia;electroencephalogram (EEG);neuro fuzzy system","Electroencephalography;Anesthesia;Entropy;Feature extraction;Indexes;Adaptive systems;Time series analysis","Adolescent;Adult;Algorithms;Anesthesia;Brain;Electroencephalography;Fuzzy Logic;Humans;Middle Aged;Monitoring, Intraoperative;Signal Processing, Computer-Assisted;Young Adult","87","","41","IEEE","29 May 2017","May 2018","","IEEE","IEEE Journals"
"The Characteristics of Electroencephalogram Signatures in Minimally Conscious State Patients Induced by General Anesthesia","X. Jin; Z. Liang; X. Wen; Y. Wang; Y. Bai; X. Xia; J. He; J. Sleigh; X. Li","School of Artificial Intelligence, Xidian University, China; Institute of Electrical Engineering, Yanshan University, Qinhuangdao, China; Institute of Electrical Engineering, Yanshan University, China; Key Laboratory of Intelligent Rehabilitation and Neuromodulation of Hebei Province, China; Department of Basic Medical Science, School of Medicine, Hangzhou Normal University, China; Senior Department of Neurosurgery, The First Medical Center of PLA General Hospital, China; Department of Neurosurgery, Beijing Tiantan Hospital, Capital Medical University, China; Department of Anesthesia, Waikato Clinical School, University of Auckland, New Zealand; State Key Laboratory of Cognitive Neuroscience and Learning & IDG/McGovern Institute for Brain Research, Beijing Normal University, Beijing, China",IEEE Transactions on Biomedical Engineering,"19 Oct 2023","2023","70","11","3239","3247","Objective: General anesthesia (GA) is necessary for surgery, even for patients in a minimally conscious state (MCS). The characteristics of the electroencephalogram (EEG) signatures of the MCS patients under GA are still unclear. Methods: The EEG during GA were recorded from 10 MCS patients undergoing spinal cord stimulation surgery. The power spectrum, phase-amplitude coupling (PAC), the diversity of connectivity, and the functional network were investigated. Long term recovery was assessed by the Coma Recovery Scale-Revised at one year after the surgery, and the characteristics of the patients with good or bad prognosis status were compared. Results: For the four MCS patients with good prognostic recovery, slow oscillation (0.1–1 Hz) and the alpha band (8–12 Hz) in the frontal areas increased during the maintenance of a surgical state of anesthesia (MOSSA), and “peak-max” and “trough-max” patterns emerged in frontal and parietal areas. During MOSSA, the six MCS patients with bad prognosis demonstrated: increased modulation index, reduced diversity of connectivity (from mean±SD of 0.877 ± 0.003 to 0.776 ± 0.003, p < 0.001), reduced function connectivity significantly in theta band (from mean±SD of 1.032 ± 0.043 to 0.589 ± 0.036, p < 0.001, in prefrontal-frontal; and from mean±SD of 0.989 ± 0.043 to 0.684 ± 0.036, p < 0.001, in frontal-parietal) and reduced local and global efficiency of the network in delta band. Conclusions: A bad prognosis in MCS patients is associated with signs of impaired thalamocortical and cortico-cortical connectivity – as indicated by inability to produce inter-frequency coupling and phase synchronization. These indices may have a role in predicting the long-term recovery of MCS patients.","1558-2531","","10.1109/TBME.2023.3287203","Scientific and Technological Innovation 2030(grant numbers:2021ZD0204300); National Natural Science Foundation of China(grant numbers:62073280,61827811); Natural Science Fund for Distinguished Young Scholars of Hebei Province of China(grant numbers:F2021203033); Hebei Province Science and Technology Support Plan(grant numbers:21372001D); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10155269","Minimally conscious state;general anesthesia;prognosis;phase-amplitude coupling;connectivity;brain network","Electroencephalography;Anesthesia;Prognostics and health management;Picture archiving and communication systems;Indexes;Electrodes;Couplings","Humans;Anesthesia, General;Electroencephalography;Male;Female;Middle Aged;Persistent Vegetative State;Adult;Aged;Brain;Signal Processing, Computer-Assisted","4","","42","IEEE","19 Jun 2023","Nov. 2023","","IEEE","IEEE Journals"
"Detrended Fluctuation Analysis of EEG as a Measure of Depth of Anesthesia","M. Jospin; P. Caminal; E. W. Jensen; H. Litvan; M. Vallverdu; M. M. R. F. Struys; H. E. M. Vereecke; D. T. Kaplan","Department of Automatic Control, Biomedical Engineering Research Center, Technical University of Catalonia, Barcelona, Spain; Department of Automatic Control, Biomedical Engineering Research Center, Technical University of Catalonia, Barcelona, Spain; Department of Automatic Control, Biomedical Engineering Research Center, Technical University of Catalonia, Barcelona, Spain; Department of Cardiac Anesthesia and Postoperative Intensive Care Unit, Hospital de la Santa Creu i Sant Pau, Barcelona, Spain; Department of Automatic Control, Biomedical Engineering Research Center, Technical University of Catalonia, Barcelona, Spain; Department of Anesthesia, Ghent University Hospital, Ghent, Belgium; Department of Anesthesia, Ghent University Hospital, Ghent, Belgium; Department of Mathematics and Computer Science, Macalester College, Saint Paul, MN, USA",IEEE Transactions on Biomedical Engineering,"16 Apr 2007","2007","54","5","840","846","For several decades, a number of methods have been developed for the noninvasive assessment of the level of consciousness during general anesthesia. In this paper, detrended fluctuation analysis is used to study the scaling behavior of the electroencephalogram as a measure of the level of consciousness. Three indexes are proposed in order to characterize the patient state. Statistical analysis demonstrates that they allow significant discrimination between the awake, sedated and anesthetized states. Two of them present a good correlation with established indexes of depth of anesthesia. The scaling behavior has been found related to the depth of anesthesia and the methodology allows real-time implementation, which enables its application in monitoring devices","1558-2531","","10.1109/TBME.2007.893453","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4154999","Anesthesia;detrended fluctuation analysis;electroencephalography;monitoring","Fluctuations;Electroencephalography;Anesthesia;Doped fiber amplifiers;Monitoring;Fractals;Drugs;Brain;Control engineering education;Biomedical engineering","Adolescent;Adult;Anesthesia, General;Anesthetics, General;Consciousness;Consciousness;Electroencephalography;Female;Fractals;Humans;Middle Aged;Monitoring, Intraoperative;Nonlinear Dynamics;Time Factors","115","1","24","IEEE","16 Apr 2007","May 2007","","IEEE","IEEE Journals"
"Monitoring the Depth of Anesthesia Through the Use of Cerebral Hemodynamic Measurements Based on Sample Entropy Algorithm","G. Wang; Z. Liu; Y. Feng; J. Li; H. Dong; D. Wang; J. Li; N. Yan; T. Liu; X. Yan","Key Laboratory of Biomedical Information Engineering of Ministry of Education, the Key Laboratory of Neuro-informatics and Rehabilitation Engineering of Ministry of Civil Affairs, Institute of Biomedical Engineering, and the School of Life Science and Technology, Xi'an Jiaotong University, Xi'an, China; Key Laboratory of Biomedical Information Engineering of Ministry of Education, the Key Laboratory of Neuro-informatics and Rehabilitation Engineering of Ministry of Civil Affairs, Institute of Biomedical Engineering, and the School of Life Science and Technology, Xi'an Jiaotong University; Key Laboratory of Biomedical Information Engineering of Ministry of Education, the Key Laboratory of Neuro-informatics and Rehabilitation Engineering of Ministry of Civil Affairs, Institute of Biomedical Engineering, and the School of Life Science and Technology, Xi'an Jiaotong University; Key Laboratory of Biomedical Information Engineering of Ministry of Education, the Key Laboratory of Neuro-informatics and Rehabilitation Engineering of Ministry of Civil Affairs, Institute of Biomedical Engineering, and the School of Life Science and Technology, Xi'an Jiaotong University; Department of Anesthesiology and Perioperative Medicine, Xijing Hospital, Fourth Military Medical University; Key Laboratory of Biomedical Information Engineering of Ministry of Education, the Key Laboratory of Neuro-informatics and Rehabilitation Engineering of Ministry of Civil Affairs, Institute of Biomedical Engineering, and the School of Life Science and Technology, Xi'an Jiaotong University; Department of Anesthesiology, Honghui Hospital, Xi'an Jiaotong University; Key Laboratory of Biomedical Information Engineering of Ministry of Education, the Key Laboratory of Neuro-informatics and Rehabilitation Engineering of Ministry of Civil Affairs, Institute of Biomedical Engineering, and the School of Life Science and Technology, Xi'an Jiaotong University, Xi'an, China; Department of Anesthesiology, Honghui Hospital, Xi'an Jiaotong University; Key Laboratory of Biomedical Information Engineering of Ministry of Education, the Key Laboratory of Neuro-informatics and Rehabilitation Engineering of Ministry of Civil Affairs, Institute of Biomedical Engineering, and the School of Life Science and Technology, Xi'an Jiaotong University, Xi'an, China",IEEE Transactions on Biomedical Engineering,"19 Feb 2020","2020","67","3","807","816","Objective: The aim of this study is to explore the relationship between the depth of anesthesia and the cerebral hemodynamic variables during the complete anesthesia process. Methods: In this study, near-infrared spectroscopy signals were used to record eight kinds of cerebral hemodynamic variables, including left, right, proximal, distal deoxygenated (Hb) and oxygenated (HbO2) hemoglobin concentration changes. Then, by measuring the complexity information of cerebral hemodynamic variables, the sample entropy was calculated as a new index of monitoring the depth of anesthesia. Results: By means of receiver operating characteristic curve analysis, the sample entropy approach was proved to effectively discriminate anesthesia maintenance and waking phases. The discriminatory ability of HbO2 signals was stronger than that of Hb signals and the distal signals had weaker discrimination capability when compared with the proximal signals. In addition, there was statistical consistency between the bispectral index and sample entropy of cerebral hemodynamic variables during the complete anesthesia process. Moreover, the cerebral hemodynamic signals could not be interfered by clinical electrical devices. Conclusion: The sample entropy of cerebral hemodynamic variables could be suitable as a new index for monitoring the depth of anesthesia. Significance: This study is very meaningful for developing new modality and decoding methods in perspective of anesthesia surveillance and may result in the anesthesia monitoring system with high performance.","1558-2531","","10.1109/TBME.2019.2921362","National Natural Science Foundation of China(grant numbers:31571000,81201162,61471291); Fundamental Research Funds for the Central Universities(grant numbers:xjj2017122); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8732458","Depth of anesthesia;oxygenated hemoglobin;deoxygenated hemoglobin;near infrared spectroscopy;sample entropy","Anesthesia;Hemodynamics;Monitoring;Indexes;Surgery;Entropy;Maintenance engineering","Adolescent;Adult;Algorithms;Anesthesia;Cerebrovascular Circulation;Consciousness;Entropy;Female;Hemoglobins;Humans;Male;Middle Aged;Monitoring, Intraoperative;Oxyhemoglobins;Signal Processing, Computer-Assisted;Spectroscopy, Near-Infrared;Young Adult","25","","42","IEEE","6 Jun 2019","March 2020","","IEEE","IEEE Journals"
"Isomap Approach to EEG-Based Assessment of Neurophysiological Changes During Anesthesia","J. Kortelainen; E. Väyrynen; T. Seppänen","Department of Electrical and Information Engineering, University of Oulu, Finland; Department of Electrical and Information Engineering, University of Oulu, Finland; Department of Electrical and Information Engineering, University of Oulu, Finland",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"7 Apr 2011","2011","19","2","113","120","Increasing concentrations of anesthetics in the blood induce a continuum of neurophysiological changes, which reflect on the electroencephalogram (EEG). EEG-based depth of anesthesia assessment requires that the signal samples are correctly associated with the neurophysiological changes occurring at different anesthetic levels. A novel method is presented to estimate the phase of the continuum using the feature data extracted from EEG. The feature data calculated from EEG sequences corresponding to continuously deepening anesthesia are considered to form a one-dimensional nonlinear manifold in the multidimensional feature space. Utilizing a recently proposed algorithm, Isomap, the dimensionality of the feature data is reduced to achieve a one-dimensional embedding representing this manifold and thereby the continuum of neurophysiological changes during induction of anesthesia. The Isomap-based estimation is validated with data recorded from nine patients during induction of propofol anesthesia. The proposed method provides a novel approach to assess neurophysiological changes during anesthesia and offers potential for the development of more advanced systems for the depth of anesthesia monitoring.","1558-0210","","10.1109/TNSRE.2010.2098420","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5664799","Depth of anesthesia;dimensionality reduction;estimation;manifold learning;spectral analysis","Anesthesia;Electroencephalography;Estimation;Manifolds;Principal component analysis;Classification algorithms;Brain modeling","Algorithms;Anesthesia;Anesthesia, Intravenous;Anesthetics;Anesthetics, Intravenous;Dose-Response Relationship, Drug;Electroencephalography;Electroencephalography;Humans;Monitoring, Intraoperative;Neurophysiology;Nonlinear Dynamics;Propofol;Reproducibility of Results;Signal Processing, Computer-Assisted","32","","36","IEEE","10 Dec 2010","April 2011","","IEEE","IEEE Journals"
